LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Sat Jun 02 17:02:30 IST 2018
 432 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 1 atom types
 1 bond types
 0 angle types
 0 dihedral types
 0 improper types
 -0.310000 7.128000  xlo xhi
 -0.310000 7.128000  ylo yhi
 -0.310000 7.128000  zlo zhi

# Pair Coeffs
#
# 1  Li

# Bond Coeffs
#
# 1  

 Masses

 1  1.0 # Ar 39.948002

 Atoms

1	1	1	0	0	0	0	#	Ar
2	2	1	0	0.62	0.62	0.62	#	Ar
3	3	1	0	0	0	1.24	#	Ar
4	4	1	0	0	0	6.198	#	Ar
5	5	1	0	1.24	0	0	#	Ar
6	6	1	0	6.198	0	0	#	Ar
7	7	1	0	0	1.24	0	#	Ar
8	8	1	0	0	6.198	0	#	Ar
9	9	1	0	0.62	0.62	1.859	#	Ar
10	10	1	0	0.62	0.62	6.818	#	Ar
11	11	1	0	1.859	0.62	0.62	#	Ar
12	12	1	0	6.818	0.62	0.62	#	Ar
13	13	1	0	0.62	1.859	0.62	#	Ar
14	14	1	0	0.62	6.818	0.62	#	Ar
15	15	1	0	0	0	2.479	#	Ar
16	16	1	0	0	0	4.958	#	Ar
17	17	1	0	2.479	0	0	#	Ar
18	18	1	0	4.958	0	0	#	Ar
19	19	1	0	0	2.479	0	#	Ar
20	20	1	0	0	4.958	0	#	Ar
21	21	1	0	0.62	0.62	3.099	#	Ar
22	22	1	0	0.62	0.62	5.578	#	Ar
23	23	1	0	3.099	0.62	0.62	#	Ar
24	24	1	0	5.578	0.62	0.62	#	Ar
25	25	1	0	0.62	3.099	0.62	#	Ar
26	26	1	0	0.62	5.578	0.62	#	Ar
27	27	1	0	0	0	3.719	#	Ar
28	28	1	0	3.719	0	0	#	Ar
29	29	1	0	0	3.719	0	#	Ar
30	30	1	0	0.62	0.62	4.339	#	Ar
31	31	1	0	4.339	0.62	0.62	#	Ar
32	32	1	0	0.62	4.339	0.62	#	Ar
33	33	1	0	0	1.24	1.24	#	Ar
34	34	1	0	0	6.198	6.198	#	Ar
35	35	1	0	0	6.198	1.24	#	Ar
36	36	1	0	0	1.24	6.198	#	Ar
37	37	1	0	1.24	0	1.24	#	Ar
38	38	1	0	6.198	0	6.198	#	Ar
39	39	1	0	1.24	0	6.198	#	Ar
40	40	1	0	6.198	0	1.24	#	Ar
41	41	1	0	1.24	1.24	0	#	Ar
42	42	1	0	6.198	6.198	0	#	Ar
43	43	1	0	6.198	1.24	0	#	Ar
44	44	1	0	1.24	6.198	0	#	Ar
45	45	1	0	0.62	1.859	1.859	#	Ar
46	46	1	0	0.62	6.818	6.818	#	Ar
47	47	1	0	0.62	6.818	1.859	#	Ar
48	48	1	0	0.62	1.859	6.818	#	Ar
49	49	1	0	1.859	0.62	1.859	#	Ar
50	50	1	0	6.818	0.62	6.818	#	Ar
51	51	1	0	1.859	0.62	6.818	#	Ar
52	52	1	0	6.818	0.62	1.859	#	Ar
53	53	1	0	1.859	1.859	0.62	#	Ar
54	54	1	0	6.818	6.818	0.62	#	Ar
55	55	1	0	6.818	1.859	0.62	#	Ar
56	56	1	0	1.859	6.818	0.62	#	Ar
57	57	1	0	0	1.24	2.479	#	Ar
58	58	1	0	0	6.198	4.958	#	Ar
59	59	1	0	0	6.198	2.479	#	Ar
60	60	1	0	0	1.24	4.958	#	Ar
61	61	1	0	2.479	0	1.24	#	Ar
62	62	1	0	4.958	0	6.198	#	Ar
63	63	1	0	2.479	0	6.198	#	Ar
64	64	1	0	4.958	0	1.24	#	Ar
65	65	1	0	1.24	2.479	0	#	Ar
66	66	1	0	6.198	4.958	0	#	Ar
67	67	1	0	6.198	2.479	0	#	Ar
68	68	1	0	1.24	4.958	0	#	Ar
69	69	1	0	1.24	0	4.958	#	Ar
70	70	1	0	6.198	0	2.479	#	Ar
71	71	1	0	6.198	0	4.958	#	Ar
72	72	1	0	1.24	0	2.479	#	Ar
73	73	1	0	0	2.479	6.198	#	Ar
74	74	1	0	0	4.958	1.24	#	Ar
75	75	1	0	0	2.479	1.24	#	Ar
76	76	1	0	0	4.958	6.198	#	Ar
77	77	1	0	2.479	1.24	0	#	Ar
78	78	1	0	4.958	6.198	0	#	Ar
79	79	1	0	2.479	6.198	0	#	Ar
80	80	1	0	4.958	1.24	0	#	Ar
81	81	1	0	0.62	1.859	3.099	#	Ar
82	82	1	0	0.62	6.818	5.578	#	Ar
83	83	1	0	0.62	6.818	3.099	#	Ar
84	84	1	0	0.62	1.859	5.578	#	Ar
85	85	1	0	3.099	0.62	1.859	#	Ar
86	86	1	0	5.578	0.62	6.818	#	Ar
87	87	1	0	3.099	0.62	6.818	#	Ar
88	88	1	0	5.578	0.62	1.859	#	Ar
89	89	1	0	1.859	3.099	0.62	#	Ar
90	90	1	0	6.818	5.578	0.62	#	Ar
91	91	1	0	6.818	3.099	0.62	#	Ar
92	92	1	0	1.859	5.578	0.62	#	Ar
93	93	1	0	1.859	0.62	5.578	#	Ar
94	94	1	0	6.818	0.62	3.099	#	Ar
95	95	1	0	6.818	0.62	5.578	#	Ar
96	96	1	0	1.859	0.62	3.099	#	Ar
97	97	1	0	0.62	3.099	6.818	#	Ar
98	98	1	0	0.62	5.578	1.859	#	Ar
99	99	1	0	0.62	3.099	1.859	#	Ar
100	100	1	0	0.62	5.578	6.818	#	Ar
101	101	1	0	3.099	1.859	0.62	#	Ar
102	102	1	0	5.578	6.818	0.62	#	Ar
103	103	1	0	3.099	6.818	0.62	#	Ar
